,ARNC
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.34827
Price/Cash Flow (TTM),
5yr Low,5.8
5yr High,15.0
5yr Avg Return,-0.392
Short Int Current Month,4425592.0
Short Int Prev Month,0.0
Short Int Pct of Float,0.0406168
Days to Cover,0.53953
Float,108.2687
Shares Outstanding,109.0214
Institutions Holding Shares,9.0
% Held by Institutions,0.323632
FCF Growth 5yr,-1.243107762286617
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
