,ARNC
% Above Low,0.5724
% Held by Institutions,0.3236
52-Wk Range,['5.80 - 15.00']
Annual Dividend $,
Annual Dividend %,
Ask,9.18
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,
Bid,9.1
Bid Size,400.0
Change Since Close,-0.03| |(-0.33%)
Closing Price,9.12
Day Change $,0.45
Day Change %,0.0519
Day High,9.12
Day Low,8.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,1.729
Last (size),47.0
Last (time),6:30p ET 05/08/20
Last Trade,9.09
Market Cap,994.3M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,8.67
Shares Outstanding,109.0M
Short Interest,0.0406
Today's Open,8.74
Volume,1590279.0
Volume 10-day Avg,2334294.0
Volume Past Day,(Light)
