,SBUX
% Below High,0.2191
% Held by Institutions,0.6785
52-Wk Range,['50.02 - 99.72']
Annual Dividend $,1.64
Annual Dividend %,0.0216
Ask,78.0
Ask Size,2200.0
B/A Ratio,0.09090909090909091
B/A Size,200x2200
Beta,0.8
Bid,77.63
Bid Size,200.0
Closing Price,77.87
Day Change $,1.87
Day Change %,0.0246
Day High,77.93
Day Low,75.76
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",2.81
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.43
Last (size),5.0
Last (time),4:00p ET 05/08/20
Market Cap,91.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.71
Prev Close,76.0
Shares Outstanding,1.2B
Short Interest,0.0163
Today's Open,77.25
Volume,11921827.0
Volume 10-day Avg,13129872.0
Volume Past Day,(Average)
