,SBUX
Price/Earnings (TTM),27.70997
Price/Sales (TTM),3.41208
Price/Book (MRQ),
Price/Cash Flow (TTM),18.72541
5yr Low,42.05
5yr High,99.72
5yr Avg Return,0.09253333333333334
EPS Growth 5yr,0.1658506
Revenue Growth 5yr,0.10015990000000001
Dividend Growth 5yr,0.22594740000000002
Short Int Current Month,19123237.0
Short Int Prev Month,17901598.0
Short Int Pct of Float,0.0163311
Days to Cover,1.4745
Float,1165.57
Shares Outstanding,1168.3
Institutions Holding Shares,2359.0
% Held by Institutions,0.678501
FCF Growth 5yr,0.441300032512718
