,SBUX
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-0.9178571428571428
Growth 1yr High Est,-0.3402777777777778
Growth 1yr Consensus Est,-0.6290674603174603
Growth 2yr Low Est,3.758462732919255
Growth 2yr High Est,0.15091374269005858
Growth 2yr Consensus Est,1.9546882378046566
Growth 5yr Low Est,1.9636144064925594
Growth 5yr High Est,0.1610759189640769
Growth 5yr Consensus Est,1.062345162728318
Growth 5yr Actual/Est,0.20976441370055504
Growth 3yr Historic,0.08604469228917594
