,LEG
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.6259842519685039
Growth 1yr High Est,-0.3410852713178295
Growth 1yr Consensus Est,-0.4835347616431667
Growth 2yr Low Est,0.21332366348943232
Growth 2yr High Est,-0.011719106247149946
Growth 2yr Consensus Est,0.10080227862114119
Growth 5yr Low Est,0.11824752797010898
Growth 5yr High Est,0.0024057529988740223
Growth 5yr Consensus Est,0.0603266404844915
Growth 5yr Actual/Est,0.04906637874116904
Growth 3yr Historic,0.01110510097036449
