,LEG
Price/Earnings (TTM),11.42719
Price/Sales (TTM),0.76537
Price/Book (MRQ),2.8701
Price/Cash Flow (TTM),6.94594
5yr Low,22.03
5yr High,55.42
5yr Avg Return,-0.028849999999999994
EPS Growth 5yr,0.0972146
Revenue Growth 5yr,0.0467265
Dividend Growth 5yr,0.0530754
Short Int Current Month,5549064.0
Short Int Prev Month,6103756.0
Short Int Pct of Float,0.0424907
Days to Cover,4.4357
Float,130.6366
Shares Outstanding,132.2494
Institutions Holding Shares,667.0
% Held by Institutions,0.7252460000000001
FCF Growth 5yr,0.2395146109373083
