,LEG
% Above Low,0.3527
% Held by Institutions,0.7252
52-Wk Range,['22.03 - 55.42']
Annual Dividend $,1.6
Annual Dividend %,0.059500000000000004
Ask,31.3
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.7
Bid,29.2
Bid Size,400.0
Closing Price,29.8
Day Change $,2.93
Day Change %,0.109
Day High,29.91
Day Low,27.53
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",2.35
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.58
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,3.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.43
Prev Close,26.87
Shares Outstanding,132.2M
Short Interest,0.0425
Today's Open,27.6
Volume,2371743.0
Volume 10-day Avg,2894097.0
Volume Past Day,(Below Average)
