,TFX
Price/Earnings (TTM),29.12343
Price/Sales (TTM),6.04748
Price/Book (MRQ),5.14045
Price/Cash Flow (TTM),20.58086
5yr Low,122.13
5yr High,398.65
5yr Avg Return,0.2079833333333333
EPS Growth 5yr,0.1908189
Revenue Growth 5yr,0.071233
Dividend Growth 5yr,0.0
Short Int Current Month,777430.0
Short Int Prev Month,675675.0
Short Int Pct of Float,0.0168029
Days to Cover,2.56477
Float,46.28629
Shares Outstanding,46.42542
Institutions Holding Shares,728.0
% Held by Institutions,0.933651
FCF Growth 5yr,0.0857903556578733
