,TFX
% Below High,0.1464
% Held by Institutions,0.9337000000000001
52-Wk Range,['221.27 - 398.65']
Annual Dividend $,1.36
Annual Dividend %,0.004
Ask,342.88
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,200.0
Bid Size,1000.0
Closing Price,340.3
Day Change $,-2.97
Day Change %,-0.0087
Day High,348.47
Day Low,339.97
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",11.68
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.42
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,15.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.12
Prev Close,343.27
Shares Outstanding,46.4M
Short Interest,0.0168
Today's Open,344.0
Volume,193173.0
Volume 10-day Avg,374338.0
Volume Past Day,(Light)
