,SCHW
% Above Low,0.3039
% Held by Institutions,0.83
52-Wk Range,['28.00 - 51.65']
Annual Dividend $,0.72
Annual Dividend %,0.020499999999999997
Ask,36.6
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.3
Bid,36.33
Bid Size,100.0
Closing Price,36.51
Day Change $,1.34
Day Change %,0.0381
Day High,36.66
Day Low,35.81
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",2.57
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.495
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,47.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.23
Prev Close,35.17
Shares Outstanding,1.3B
Short Interest,0.062
Today's Open,35.88
Volume,9489401.0
Volume 10-day Avg,8373060.0
Volume Past Day,(Above Average)
