,SCHW
Price/Earnings (TTM),14.2287
Price/Sales (TTM),4.08788
Price/Book (MRQ),
Price/Cash Flow (TTM),12.63506
5yr Low,21.51
5yr High,60.22
5yr Avg Return,0.051383333333333336
EPS Growth 5yr,0.22739209999999999
Revenue Growth 5yr,0.1386548
Dividend Growth 5yr,0.23157119999999998
Short Int Current Month,71376681.0
Short Int Prev Month,70308507.0
Short Int Pct of Float,0.0619786
Days to Cover,6.77974
Float,1152.826
Shares Outstanding,1287.384
Institutions Holding Shares,1456.0
% Held by Institutions,0.8300449999999999
FCF Growth 5yr,-1.9850383638378126
