,WFC
% Above Low,0.0129
% Held by Institutions,0.7593000000000001
52-Wk Range,['25.11 - 54.75']
Annual Dividend $,2.04
Annual Dividend %,0.0809
Ask,25.54
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,25.5
Bid Size,100.0
Closing Price,25.43
Day Change $,0.2
Day Change %,0.0079
Day High,25.78
Day Low,25.23
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",2.83
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.499
Last (size),400.0
Last (time),6:30p ET 05/08/20
Market Cap,104.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.98
Prev Close,25.23
Shares Outstanding,4.1B
Short Interest,0.0116
Today's Open,25.64
Volume,53768812.0
Volume 10-day Avg,42561061.0
Volume Past Day,(Heavy Day)
