,WY
% Above Low,0.5153
% Held by Institutions,0.7676000000000001
52-Wk Range,['13.10 - 31.58']
Annual Dividend $,1.36
Annual Dividend %,0.073
Ask,20.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.9
Bid,19.0
Bid Size,500.0
Closing Price,19.85
Day Change $,1.22
Day Change %,0.0655
Day High,19.87
Day Low,19.05
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.638
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,14.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",40.83
Prev Close,18.63
Shares Outstanding,746.2M
Short Interest,0.011000000000000001
Today's Open,19.14
Volume,5764502.0
Volume 10-day Avg,6137208.0
Volume Past Day,(Average)
