,WY
Price/Earnings (TTM),40.83186
Price/Sales (TTM),2.23109
Price/Book (MRQ),1.83274
Price/Cash Flow (TTM),16.967
5yr Low,13.1
5yr High,38.39
5yr Avg Return,-0.030149999999999993
EPS Growth 5yr,
Revenue Growth 5yr,0.036102300000000004
Dividend Growth 5yr,
Short Int Current Month,8154830.0
Short Int Prev Month,9466835.0
Short Int Pct of Float,0.010961700000000001
Days to Cover,1.3246
Float,744.1329
Shares Outstanding,746.206
Institutions Holding Shares,1151.0
% Held by Institutions,0.7676099999999999
FCF Growth 5yr,0.31624344778067226
