,DLR
Price/Earnings (TTM),63.42377
Price/Sales (TTM),12.45514
Price/Book (MRQ),3.68655
Price/Cash Flow (TTM),23.67976
5yr Low,60.66
5yr High,158.36
5yr Avg Return,0.14941666666666667
EPS Growth 5yr,0.1883651
Revenue Growth 5yr,0.1470138
Dividend Growth 5yr,0.0538244
Short Int Current Month,13653141.0
Short Int Prev Month,14759664.0
Short Int Pct of Float,0.05284900000000001
Days to Cover,5.72852
Float,268.1264
Shares Outstanding,268.2114
Institutions Holding Shares,1048.0
% Held by Institutions,0.862088
FCF Growth 5yr,3.1821094032834365
