,DLR
% Below High,0.084
% Held by Institutions,0.8621
52-Wk Range,['105.00 - 158.36']
Annual Dividend $,4.48
Annual Dividend %,0.0301
Ask,148.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,143.51
Bid Size,100.0
Closing Price,145.06
Day Change $,-3.97
Day Change %,-0.026600000000000002
Day High,153.18
Day Low,143.0
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",2.35
Ex-dividend,2020-03-16 00:00:00
Ex-dividend Date,03/16/20
Historical Volatility,0.391
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,38.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",63.42
Prev Close,149.03
Shares Outstanding,268.2M
Short Interest,0.0528
Today's Open,153.0
Volume,2077172.0
Volume 10-day Avg,1661354.0
Volume Past Day,(Heavy Day)
