,NFLX
Price/Earnings (TTM),93.74336
Price/Sales (TTM),8.97007
Price/Book (MRQ),22.8292
Price/Cash Flow (TTM),16.29864
5yr Low,79.95
5yr High,449.52
5yr Avg Return,0.33498333333333336
EPS Growth 5yr,0.4418911
Revenue Growth 5yr,0.2963932
Dividend Growth 5yr,
Short Int Current Month,15497397.0
Short Int Prev Month,15633465.0
Short Int Pct of Float,0.0359024
Days to Cover,2.24259
Float,432.6575
Shares Outstanding,439.804
Institutions Holding Shares,1908.0
% Held by Institutions,0.813589
FCF Growth 5yr,0.30862161348197825
