,OMC
Price/Earnings (TTM),8.81839
Price/Sales (TTM),0.7717
Price/Book (MRQ),4.69521
Price/Cash Flow (TTM),6.92497
5yr Low,46.37
5yr High,89.66
5yr Avg Return,-0.037366666666666666
EPS Growth 5yr,0.06989189999999999
Revenue Growth 5yr,-0.0047998
Dividend Growth 5yr,0.072145
Short Int Current Month,20948990.0
Short Int Prev Month,20160294.0
Short Int Pct of Float,0.09741820000000001
Days to Cover,9.34546
Float,212.4107
Shares Outstanding,214.2829
Institutions Holding Shares,1087.0
% Held by Institutions,1.054233
FCF Growth 5yr,-0.018683824545763405
