,ORCL
% Below High,0.11449999999999999
% Held by Institutions,0.5151
52-Wk Range,['39.71 - 60.50']
Annual Dividend $,0.96
Annual Dividend %,0.0183
Ask,53.88
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.9
Bid,53.39
Bid Size,100.0
Closing Price,53.57
Day Change $,0.97
Day Change %,0.0184
Day High,53.78
Day Low,52.77
Dividend Pay Date,2020-04-23 00:00:00
"EPS (TTM, GAAP)",3.18
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.397
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,168.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.86
Prev Close,52.6
Shares Outstanding,3.2B
Short Interest,0.014199999999999999
Today's Open,53.19
Volume,8131796.0
Volume 10-day Avg,8511864.0
Volume Past Day,(Average)
