,ORCL
Price/Earnings (TTM),16.86405
Price/Sales (TTM),4.2484
Price/Book (MRQ),11.89566
Price/Cash Flow (TTM),12.27833
5yr Low,33.13
5yr High,60.5
5yr Avg Return,0.04566666666666666
EPS Growth 5yr,0.0378736
Revenue Growth 5yr,0.0063512
Dividend Growth 5yr,0.12593379999999998
Short Int Current Month,28421676.0
Short Int Prev Month,25170811.0
Short Int Pct of Float,0.014162
Days to Cover,2.16586
Float,2006.983
Shares Outstanding,3153.584
Institutions Holding Shares,2375.0
% Held by Institutions,0.515088
FCF Growth 5yr,-0.0023609970959274753
