,BF.B
Price/Earnings (TTM),37.28718
Price/Sales (TTM),8.86075
Price/Book (MRQ),15.41524
Price/Cash Flow (TTM),33.1595
5yr Low,34.98
5yr High,72.85
5yr Avg Return,0.1319833333333333
EPS Growth 5yr,0.0391847
Revenue Growth 5yr,0.0213367
Dividend Growth 5yr,0.08247460000000001
Short Int Current Month,3402099.0
Short Int Prev Month,3381354.0
Short Int Pct of Float,0.0295578
Days to Cover,8.33229
Float,339.6044
Shares Outstanding,478.1402
Institutions Holding Shares,795.0
% Held by Institutions,0.5010840000000001
FCF Growth 5yr,0.08553292282650152
