,BF.B
Next Earnings Announcement,2020-06-03 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.030303030303030165
Growth 1yr High Est,0.028735632183908066
Growth 1yr Consensus Est,-0.0007836990595610493
Growth 2yr Low Est,-0.20890151515151512
Growth 2yr High Est,0.06464714570089258
Growth 2yr Consensus Est,-0.07212718472531127
Growth 5yr Low Est,-0.10970720867483369
Growth 5yr High Est,0.032997730153817045
Growth 5yr Consensus Est,-0.03835473926050832
Growth 5yr Actual/Est,0.060907181555150014
Growth 3yr Historic,0.062302722430459645
