,ES
Price/Earnings (TTM),27.23417
Price/Sales (TTM),3.02519
Price/Book (MRQ),1.94149
Price/Cash Flow (TTM),13.86932
5yr Low,44.64
5yr High,99.42
5yr Avg Return,0.09008333333333335
EPS Growth 5yr,0.0174295
Revenue Growth 5yr,0.019382
Dividend Growth 5yr,0.0639049
Short Int Current Month,8416462.0
Short Int Prev Month,6238511.0
Short Int Pct of Float,0.0255727
Days to Cover,3.91574
Float,329.161
Shares Outstanding,330.3322
Institutions Holding Shares,989.0
% Held by Institutions,0.8053520000000001
FCF Growth 5yr,-0.6003428548299878
