,ES
% Above Low,0.2818
% Held by Institutions,0.8054000000000001
52-Wk Range,['60.69 - 99.42']
Annual Dividend $,2.27
Annual Dividend %,0.0292
Ask,78.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.4
Bid,61.05
Bid Size,100.0
Closing Price,77.79
Day Change $,0.15
Day Change %,0.0019
Day High,79.0
Day Low,77.12
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",2.85
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.425
Last (size),81.0
Last (time),6:30p ET 05/08/20
Market Cap,26.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",27.23
Prev Close,77.64
Shares Outstanding,336.3M
Short Interest,0.0256
Today's Open,77.64
Volume,1430114.0
Volume 10-day Avg,1823187.0
Volume Past Day,(Light)
