,ES
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.04664723032069973
Growth 1yr High Est,0.04843304843304863
Growth 1yr Consensus Est,0.04754013937687418
Growth 2yr Low Est,0.055357041344193836
Growth 2yr High Est,0.0676947850860895
Growth 2yr Consensus Est,0.06152591321514167
Growth 5yr Low Est,0.058794411360356014
Growth 5yr High Est,0.05752962145870738
Growth 5yr Consensus Est,0.0581620164095317
Growth 5yr Actual/Est,0.0576356475241539
Growth 3yr Historic,0.022023250061835253
