,XRAY
Price/Earnings (TTM),110.8475
Price/Sales (TTM),2.24987
Price/Book (MRQ),1.8983
Price/Cash Flow (TTM),22.08735
5yr Low,31.58
5yr High,68.98
5yr Avg Return,0.01875
EPS Growth 5yr,-0.1215175
Revenue Growth 5yr,0.0663257
Dividend Growth 5yr,0.0749667
Short Int Current Month,5414993.0
Short Int Prev Month,4267105.0
Short Int Pct of Float,0.0248067
Days to Cover,2.02687
Float,218.2434
Shares Outstanding,219.0261
Institutions Holding Shares,769.0
% Held by Institutions,0.967324
FCF Growth 5yr,0.07733666017490448
