,XRAY
% Above Low,0.2874
% Held by Institutions,0.9673
52-Wk Range,['31.58 - 60.87']
Annual Dividend $,0.4
Annual Dividend %,0.0097
Ask,41.3
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.0
Bid,40.62
Bid Size,600.0
Closing Price,40.65
Day Change $,-0.41
Day Change %,-0.01
Day High,42.94
Day Low,40.03
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",0.37
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.37
Last (size),1.0
Last (time),4:00p ET 05/08/20
Market Cap,8.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",110.85
Prev Close,41.06
Shares Outstanding,219.0M
Short Interest,0.0248
Today's Open,41.87
Volume,3377880.0
Volume 10-day Avg,2382641.0
Volume Past Day,(Heavy Day)
