,CSX
Price/Earnings (TTM),15.41251
Price/Sales (TTM),4.15388
Price/Book (MRQ),4.12165
Price/Cash Flow (TTM),10.56773
5yr Low,21.33
5yr High,80.73
5yr Avg Return,0.1440833333333333
EPS Growth 5yr,0.16776789999999997
Revenue Growth 5yr,-0.0118325
Dividend Growth 5yr,0.0878929
Short Int Current Month,7697237.0
Short Int Prev Month,7733526.0
Short Int Pct of Float,0.0100032
Days to Cover,1.75666
Float,764.5765
Shares Outstanding,765.4659
Institutions Holding Shares,1502.0
% Held by Institutions,0.745872
FCF Growth 5yr,0.4295508699459939
