,CSX
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.32762836185819066
Growth 1yr High Est,-0.11162790697674418
Growth 1yr Consensus Est,-0.21962813441746742
Growth 2yr Low Est,0.018004000889086436
Growth 2yr High Est,0.03711798368440283
Growth 2yr Consensus Est,0.027560992286744634
Growth 5yr Low Est,0.20772778101963882
Growth 5yr High Est,0.22946787462608417
Growth 5yr Consensus Est,0.2185978278228615
Growth 5yr Actual/Est,0.19432274761782894
Growth 3yr Historic,0.18925748164878603
