,CSX
% Below High,0.18
% Held by Institutions,0.7459
52-Wk Range,['46.81 - 80.62']
Annual Dividend $,1.04
Annual Dividend %,0.0163
Ask,67.22
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,64.76
Bid Size,200.0
Closing Price,66.11
Day Change $,2.19
Day Change %,0.034300000000000004
Day High,66.3
Day Low,64.68
Dividend Pay Date,2020-03-13 00:00:00
"EPS (TTM, GAAP)",4.15
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.446
Last (size),500.0
Last (time),3:59p ET 05/08/20
Market Cap,50.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.41
Prev Close,63.92
Shares Outstanding,765.5M
Short Interest,0.01
Today's Open,64.75
Volume,2830006.0
Volume 10-day Avg,5173300.0
Volume Past Day,(Light)
