,MGM
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.016853932584269593
Growth 2yr High Est,0.4444444444444444
Growth 2yr Consensus Est,0.230649188514357
Growth 5yr Low Est,0.016853932584269593
Growth 5yr High Est,0.4444444444444444
Growth 5yr Consensus Est,0.230649188514357
Growth 5yr Actual/Est,0.36212786513473805
Growth 3yr Historic,0.9020763187429854
