,MGM
% Above Low,1.6422999999999999
% Held by Institutions,0.8667
52-Wk Range,['5.90 - 34.64']
Annual Dividend $,0.01
Annual Dividend %,0.0007000000000000001
Ask,15.67
Ask Size,13000.0
B/A Ratio,0.25384615384615383
B/A Size,3300x13000
Beta,2.2
Bid,15.57
Bid Size,3300.0
Closing Price,15.59
Day Change $,0.66
Day Change %,0.044199999999999996
Day High,15.71
Day Low,14.88
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",5.56
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.826
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,7.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.69
Prev Close,14.93
Shares Outstanding,493.2M
Short Interest,0.0572
Today's Open,15.33
Volume,23502788.0
Volume 10-day Avg,25450243.0
Volume Past Day,(Average)
