,SLB
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-1.1079136690647482
Growth 1yr High Est,-0.6778523489932886
Growth 1yr Consensus Est,-0.8928830090290184
Growth 2yr Low Est,0.9460431654676259
Growth 2yr High Est,-0.23475950782997768
Growth 2yr Consensus Est,0.3556418288188241
Growth 5yr Low Est,0.49734427262254055
Growth 5yr High Est,-0.11711508361855813
Growth 5yr Consensus Est,0.1901145945019912
Growth 5yr Actual/Est,-0.44451943350439593
Growth 3yr Historic,-0.00314814814814815
