,SLB,Rating Since
newConstructs,3,2020-05-08
researchTeam,reduce,2019-10-07
marketEdge opinion,neutralfromavoid,2020-05-08
marketEdge,2,2020-05-08
cfra,2,2020-03-10
theStreet,sell,2019-10-21
ford,3,2020-04-09
creditSuisse,neutral,2018-12-19
