,SLB
Price/Earnings (TTM),
Price/Sales (TTM),0.77094
Price/Book (MRQ),1.6098
Price/Cash Flow (TTM),
5yr Low,11.87
5yr High,93.41
5yr Avg Return,-0.19033333333333335
EPS Growth 5yr,
Revenue Growth 5yr,-0.07489180000000001
Dividend Growth 5yr,0.057467199999999996
Short Int Current Month,25482416.0
Short Int Prev Month,23511579.0
Short Int Pct of Float,0.0183952
Days to Cover,1.17997
Float,1385.491
Shares Outstanding,1387.813
Institutions Holding Shares,1661.0
% Held by Institutions,0.7927379999999999
FCF Growth 5yr,-0.08589410580945085
