,INCY
% Below High,0.0848
% Held by Institutions,0.9114
52-Wk Range,['62.48 - 104.81']
Annual Dividend $,
Annual Dividend %,
Ask,98.2
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,94.13
Bid Size,200.0
Closing Price,95.92
Day Change $,-0.55
Day Change %,-0.005699999999999999
Day High,96.93
Day Low,94.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.74
Ex-dividend Date,No dividend
Historical Volatility,0.383
Last (size),7300.0
Last (time),3:59p ET 05/08/20
Market Cap,20.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,96.47
Shares Outstanding,217.4M
Short Interest,0.0336
Today's Open,96.88
Volume,1198601.0
Volume 10-day Avg,1601487.0
Volume Past Day,(Light)
