,INCY
Price/Earnings (TTM),
Price/Sales (TTM),9.40609
Price/Book (MRQ),10.80103
Price/Cash Flow (TTM),
5yr Low,55.0
5yr High,153.15
5yr Avg Return,0.012466666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.3337442
Dividend Growth 5yr,
Short Int Current Month,7227970.0
Short Int Prev Month,6146566.0
Short Int Pct of Float,0.0335839
Days to Cover,3.77795
Float,215.9476
Shares Outstanding,217.3734
Institutions Holding Shares,787.0
% Held by Institutions,0.911378
FCF Growth 5yr,-0.20971326920107963
