,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,7.11,,,7.09,,7.1,,7.095,7.11,,
Year ending 12/2018,Neutral,8.01,,0.12658227848101267,7.95,0.12129760225669961,8.01,0.1281690140845071,7.98,8.01,0.12658227848101267,0.12473330817060335
Year ending 12/2019,Neutral,8.16,,0.01872659176029967,8.1,0.018867924528301883,8.15,0.017478152309613026,8.125,8.16,0.01872659176029967,0.018173038418957455
Year ending 12/2020,Neutral,,7.04,0.0,6.3,-0.2222222222222222,7.94,-0.025766871165644134,7.04,7.04,-0.13725490196078427,-0.12399454669393317
Year ending 12/2021,Neutral,,7.84,0.0,6.9,0.09523809523809534,9.44,0.18891687657430722,7.84,7.84,0.11363636363636354,0.14207748590620128
