,HON
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.2222222222222222
Growth 1yr High Est,-0.025766871165644134
Growth 1yr Consensus Est,-0.12399454669393317
Growth 2yr Low Est,-0.06349206349206343
Growth 2yr High Est,0.08157500270433155
Growth 2yr Consensus Est,0.009041469606134056
Growth 5yr Low Est,0.0032953499502186567
Growth 5yr High Est,0.0771992929506958
Growth 5yr Consensus Est,0.04024732145045723
Growth 5yr Actual/Est,0.0304225829792229
Growth 3yr Historic,0.036327217560328084
