,HON
% Above Low,0.35450000000000004
% Held by Institutions,0.7484999999999999
52-Wk Range,['101.08 - 184.06']
Annual Dividend $,3.6
Annual Dividend %,0.0271
Ask,137.49
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,1.1
Bid,137.0
Bid Size,300.0
Closing Price,136.91
Day Change $,4.12
Day Change %,0.031
Day High,137.32
Day Low,134.4
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",8.32
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.394
Last (size),8.0
Last (time),6:30p ET 05/08/20
Market Cap,96.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.97
Prev Close,132.79
Shares Outstanding,701.8M
Short Interest,0.0115
Today's Open,134.67
Volume,2740689.0
Volume 10-day Avg,3236592.0
Volume Past Day,(Below Average)
