,TAP,Rating Since
newConstructs,3,2020-05-08
researchTeam,reduce,2020-05-04
marketEdge opinion,avoid,2020-05-08
marketEdge,0,2020-05-08
creditSuisse,underperform,2019-06-10
cfra,3,2020-03-21
theStreet,hold,2020-03-10
ford,2,2020-04-17
