,TAP
Price/Earnings (TTM),
Price/Sales (TTM),0.82081
Price/Book (MRQ),0.66367
Price/Cash Flow (TTM),9.63373
5yr Low,34.01
5yr High,112.19
5yr Avg Return,-0.08121666666666666
EPS Growth 5yr,-0.16584890000000002
Revenue Growth 5yr,0.20603539999999998
Dividend Growth 5yr,0.057788599999999996
Short Int Current Month,12453809.0
Short Int Prev Month,11853128.0
Short Int Pct of Float,0.0717516
Days to Cover,7.16296
Float,176.2372
Shares Outstanding,216.5838
Institutions Holding Shares,765.0
% Held by Institutions,0.9007179999999999
FCF Growth 5yr,0.2990131420924222
