,TAP
% Above Low,0.1435
% Held by Institutions,0.9007
52-Wk Range,['34.01 - 61.94']
Annual Dividend $,2.28
Annual Dividend %,0.060599999999999994
Ask,39.5
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.9
Bid,38.0
Bid Size,300.0
Closing Price,38.89
Day Change $,1.29
Day Change %,0.034300000000000004
Day High,39.06
Day Low,37.96
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",-0.13
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.396
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,8.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,37.6
Shares Outstanding,216.6M
Short Interest,0.0718
Today's Open,38.37
Volume,1594120.0
Volume 10-day Avg,2492391.0
Volume Past Day,(Light)
