,AZO
Next Earnings Announcement,2020-05-26 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.11292962356792147
Growth 1yr High Est,0.0516669300047401
Growth 1yr Consensus Est,-0.030631346781590685
Growth 2yr Low Est,-0.030634553481377724
Growth 2yr High Est,0.08570425827160078
Growth 2yr Consensus Est,0.027534852395111525
Growth 5yr Low Est,0.08044540087943405
Growth 5yr High Est,0.13946227606818962
Growth 5yr Consensus Est,0.10995383847381184
Growth 5yr Actual/Est,0.11758748327848015
Growth 3yr Historic,0.1005247316913887
