,AZO
% Below High,0.1699
% Held by Institutions,0.9486
52-Wk Range,"['684.91 - 1,274.41']"
Annual Dividend $,
Annual Dividend %,
Ask,1175.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,1057.92
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,1057.9
Day Change $,45.74
Day Change %,0.0452
Day High,1059.69
Day Low,1017.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",65.5
Ex-dividend Date,No dividend
Historical Volatility,0.42100000000000004
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,24.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.45
Prev Close,1012.16
Shares Outstanding,23.4M
Short Interest,0.0225
Today's Open,1032.34
Volume,203801.0
Volume 10-day Avg,236111.0
Volume Past Day,(Below Average)
