,NI
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.055118110236220486
Growth 1yr High Est,0.07575757575757569
Growth 1yr Consensus Est,0.010319732760677602
Growth 2yr Low Est,0.014107611548556498
Growth 2yr High Est,0.06604780196329496
Growth 2yr Consensus Est,0.04007770675592573
Growth 5yr Low Est,0.028059457828317397
Growth 5yr High Est,0.05326349745075215
Growth 5yr Consensus Est,0.040661477639534774
Growth 5yr Actual/Est,0.037592710319983014
Growth 3yr Historic,0.022441195168467876
