,NI
% Above Low,0.18969999999999998
% Held by Institutions,0.9284
52-Wk Range,['19.56 - 30.67']
Annual Dividend $,0.84
Annual Dividend %,0.036699999999999997
Ask,25.82
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.3
Bid,22.71
Bid Size,500.0
Closing Price,23.27
Day Change $,0.37
Day Change %,0.016200000000000003
Day High,23.39
Day Low,22.97
Dividend Pay Date,2020-05-20 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.42100000000000004
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,8.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",46.7
Prev Close,22.9
Shares Outstanding,382.7M
Short Interest,0.0171
Today's Open,23.13
Volume,3748904.0
Volume 10-day Avg,3286356.0
Volume Past Day,(Above Average)
