,NI
Price/Earnings (TTM),46.70229
Price/Sales (TTM),1.77286
Price/Book (MRQ),1.80271
Price/Cash Flow (TTM),9.61934
5yr Low,16.04
5yr High,49.16
5yr Avg Return,-0.05646666666666666
EPS Growth 5yr,0.015135099999999999
Revenue Growth 5yr,-0.0024205
Dividend Growth 5yr,-0.0474277
Short Int Current Month,6515129.0
Short Int Prev Month,5648325.0
Short Int Pct of Float,0.017095199999999998
Days to Cover,2.48123
Float,381.2115
Shares Outstanding,382.7995
Institutions Holding Shares,678.0
% Held by Institutions,0.928423
FCF Growth 5yr,-1.8489365153515358
