,HOLX
Price/Earnings (TTM),31.45536
Price/Sales (TTM),4.11122
Price/Book (MRQ),6.5525
Price/Cash Flow (TTM),15.78636
5yr Low,26.49
5yr High,55.25
5yr Avg Return,0.09351666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.0587861
Dividend Growth 5yr,
Short Int Current Month,4373249.0
Short Int Prev Month,2571862.0
Short Int Pct of Float,0.016654500000000003
Days to Cover,1.6233
Float,257.3452
Shares Outstanding,258.2057
Institutions Holding Shares,718.0
% Held by Institutions,0.9764409999999999
FCF Growth 5yr,-1.7141817894094102
