,HOLX
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.15702479338842967
Growth 1yr High Est,0.06530612244897949
Growth 1yr Consensus Est,-0.04585933546972509
Growth 2yr Low Est,0.021977799384216623
Growth 2yr High Est,0.2452967393854093
Growth 2yr Consensus Est,0.13363726938481296
Growth 5yr Low Est,0.06381445251766116
Growth 5yr High Est,0.17341275229836617
Growth 5yr Consensus Est,0.11861360240801366
Growth 5yr Actual/Est,0.08742243690596868
Growth 3yr Historic,0.04705206653559835
