,HOLX
% Below High,0.059000000000000004
% Held by Institutions,0.9764
52-Wk Range,['26.49 - 55.25']
Annual Dividend $,
Annual Dividend %,
Ask,52.3
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.4
Bid,52.1
Bid Size,400.0
Closing Price,51.99
Day Change $,-0.95
Day Change %,-0.0179
Day High,53.4
Day Low,51.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.68
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),5.0
Last (time),4:15p ET 05/08/20
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",31.46
Prev Close,52.94
Shares Outstanding,258.2M
Short Interest,0.0167
Today's Open,53.22
Volume,2155156.0
Volume 10-day Avg,3668970.0
Volume Past Day,(Light)
