,WRB
% Above Low,0.2016
% Held by Institutions,0.713
52-Wk Range,['43.05 - 79.92']
Annual Dividend $,0.44
Annual Dividend %,0.0086
Ask,71.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.8
Bid,48.5
Bid Size,400.0
Closing Price,51.73
Day Change $,0.6
Day Change %,0.011699999999999999
Day High,52.33
Day Low,50.7
Dividend Pay Date,2020-03-25 00:00:00
"EPS (TTM, GAAP)",2.57
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.43100000000000005
Last (size),4400.0
Last (time),6:30p ET 05/08/20
Market Cap,9.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.13
Prev Close,51.13
Shares Outstanding,178.7M
Short Interest,0.011200000000000002
Today's Open,52.11
Volume,732114.0
Volume 10-day Avg,875020.0
Volume Past Day,(Below Average)
