,PSX
% Above Low,0.9246
% Held by Institutions,0.6724
52-Wk Range,['40.04 - 119.92']
Annual Dividend $,3.6
Annual Dividend %,0.049100000000000005
Ask,77.4
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,1.6
Bid,77.15
Bid Size,200.0
Closing Price,77.06
Day Change $,3.75
Day Change %,0.0512
Day High,77.44
Day Low,73.78
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",0.79
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.554
Last (size),357.0
Last (time),6:30p ET 05/08/20
Market Cap,33.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",98.15
Prev Close,73.31
Shares Outstanding,436.7M
Short Interest,0.013600000000000001
Today's Open,74.63
Volume,3278985.0
Volume 10-day Avg,5058893.0
Volume Past Day,(Light)
