,MS
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.49148936170212765
Growth 1yr High Est,-0.16199999999999992
Growth 1yr Consensus Est,-0.3267446808510638
Growth 2yr Low Est,-0.044907860767381846
Growth 2yr High Est,0.039525059665871165
Growth 2yr Consensus Est,-0.0026914005507553407
Growth 5yr Low Est,0.07934247680193784
Growth 5yr High Est,0.11036198487380755
Growth 5yr Consensus Est,0.0948522308378727
Growth 5yr Actual/Est,0.08800107880797489
Growth 3yr Historic,0.10278511862814188
