,MS
% Above Low,0.47350000000000003
% Held by Institutions,0.6104999999999999
52-Wk Range,['27.20 - 57.57']
Annual Dividend $,1.4
Annual Dividend %,0.0361
Ask,40.2
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,40.11
Bid Size,100.0
Closing Price,40.08
Day Change $,1.27
Day Change %,0.0327
Day High,40.17
Day Low,39.2
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",4.81
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.512
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,63.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.07
Prev Close,38.81
Shares Outstanding,1.6B
Short Interest,0.0458
Today's Open,39.51
Volume,12097712.0
Volume 10-day Avg,11562703.0
Volume Past Day,(Average)
