,MS
Price/Earnings (TTM),8.07458
Price/Sales (TTM),1.17836
Price/Book (MRQ),0.7906
Price/Cash Flow (TTM),5.65221
5yr Low,21.16
5yr High,59.38
5yr Avg Return,0.046449999999999984
EPS Growth 5yr,0.2643059
Revenue Growth 5yr,0.0723693
Dividend Growth 5yr,0.3000949
Short Int Current Month,54612302.0
Short Int Prev Month,49486119.0
Short Int Pct of Float,0.0457719
Days to Cover,3.29415
Float,1193.693
Shares Outstanding,1575.656
Institutions Holding Shares,1443.0
% Held by Institutions,0.6104849999999999
FCF Growth 5yr,0.015046367843021002
