,SO
Price/Earnings (TTM),16.6115
Price/Sales (TTM),2.78567
Price/Book (MRQ),
Price/Cash Flow (TTM),8.55268
5yr Low,41.4
5yr High,71.1
5yr Avg Return,0.05576666666666665
EPS Growth 5yr,0.15592599999999998
Revenue Growth 5yr,0.0301028
Dividend Growth 5yr,0.0338797
Short Int Current Month,12433762.0
Short Int Prev Month,14578837.0
Short Int Pct of Float,0.0117829
Days to Cover,2.30561
Float,1055.526
Shares Outstanding,1057.007
Institutions Holding Shares,1700.0
% Held by Institutions,0.592708
FCF Growth 5yr,0.25834577680009
