,SO
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.01650165016501648
Growth 1yr High Est,0.022364217252396346
Growth 1yr Consensus Est,0.002931283543689933
Growth 2yr Low Est,0.03705118834031057
Growth 2yr High Est,0.036182108626198084
Growth 2yr Consensus Est,0.03661664848325433
Growth 5yr Low Est,0.028741681303942862
Growth 5yr High Est,0.028827300267791622
Growth 5yr Consensus Est,0.028784490785867242
Growth 5yr Actual/Est,0.023310248619924145
Growth 3yr Historic,0.007396401837910127
