,VFC
% Above Low,0.292
% Held by Institutions,0.7702
52-Wk Range,['45.07 - 100.25']
Annual Dividend $,1.92
Annual Dividend %,0.0335
Ask,58.35
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.2
Bid,58.23
Bid Size,300.0
Closing Price,58.23
Day Change $,0.95
Day Change %,0.0166
Day High,59.21
Day Low,58.09
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",3.34
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.517
Last (size),28.0
Last (time),6:30p ET 05/08/20
Market Cap,23.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.42
Prev Close,57.28
Shares Outstanding,394.7M
Short Interest,0.0166
Today's Open,58.44
Volume,2020104.0
Volume 10-day Avg,2779717.0
Volume Past Day,(Light)
