,VFC
Price/Earnings (TTM),17.42156
Price/Sales (TTM),1.87438
Price/Book (MRQ),5.02965
Price/Cash Flow (TTM),14.09503
5yr Low,45.07
5yr High,100.25
5yr Avg Return,0.015249999999999996
Short Int Current Month,6069546.0
Short Int Prev Month,6870849.0
Short Int Pct of Float,0.0165906
Days to Cover,2.10111
Float,365.8716
Shares Outstanding,394.7203
Institutions Holding Shares,1185.0
% Held by Institutions,0.7702370000000001
FCF Growth 5yr,-1.6382639271813153
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
