,VMC
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.21476510067114096
Growth 1yr High Est,0.16221765913757702
Growth 1yr Consensus Est,-0.02627372076678197
Growth 2yr Low Est,-0.16578710874012886
Growth 2yr High Est,0.18623250448044926
Growth 2yr Consensus Est,0.010222697870160197
Growth 5yr Low Est,0.033951901761105935
Growth 5yr High Est,0.22340132914713617
Growth 5yr Consensus Est,0.12867661545412107
Growth 5yr Actual/Est,0.1360608636857541
Growth 3yr Historic,0.12318266731643923
