,HFC,Rating Since
theStreet,hold,2020-03-12
newConstructs,2,2020-05-08
researchTeam,hold,2020-04-13
creditSuisse,neutral,2018-04-05
cfra,4,2019-01-18
ford,3,2019-12-13
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,3,2020-05-01
