,HFC
Price/Earnings (TTM),6.18382
Price/Sales (TTM),0.26208
Price/Book (MRQ),0.76643
Price/Cash Flow (TTM),3.31549
5yr Low,18.48
5yr High,83.28
5yr Avg Return,-0.01111666666666667
EPS Growth 5yr,0.2653515
Revenue Growth 5yr,-0.0241916
Dividend Growth 5yr,0.0125826
Short Int Current Month,6973335.0
Short Int Prev Month,7421649.0
Short Int Pct of Float,0.0434235
Days to Cover,2.78764
Float,160.5898
Shares Outstanding,161.8836
Institutions Holding Shares,722.0
% Held by Institutions,0.850692
FCF Growth 5yr,0.9192842918522329
